tool,specie,sequencing_id,mrd,depth,batch,precision,recall,f1score
NanoMGT,Escherichia coli,SRR26036455,0.01,220,2,0.0714285714285714,0.0975609756097561,0.0824742268041237
NanoMGT,Escherichia coli,SRR26036455,0.01,220,3,0.2608695652173913,0.4390243902439024,0.3272727272727272
NanoMGT,Escherichia coli,SRR26036455,0.01,220,4,0.2933333333333333,0.5365853658536586,0.3793103448275862
NanoMGT,Escherichia coli,SRR26036455,0.01,220,5,0.3452380952380952,0.7073170731707317,0.4640000000000001
NanoMGT,Escherichia coli,SRR26036455,0.01,220,6,0.3563218390804598,0.7560975609756098,0.484375
NanoMGT,Escherichia coli,SRR26036455,0.01,220,7,0.348314606741573,0.7560975609756098,0.4769230769230769
NanoMGT,Escherichia coli,SRR26036455,0.01,220,8,0.4146341463414634,0.8292682926829268,0.5528455284552845
NanoMGT,Escherichia coli,SRR26036455,0.01,220,9,0.4382022471910112,0.951219512195122,0.6
NanoMGT,Escherichia coli,SRR26036455,0.01,220,10,0.4105263157894737,0.951219512195122,0.573529411764706
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,1,0.2636363636363636,0.6444444444444445,0.3741935483870967
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,2,0.2888888888888888,0.8666666666666667,0.4333333333333333
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,3,0.3559322033898305,0.9333333333333332,0.5153374233128835
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,4,0.3611111111111111,0.8666666666666667,0.5098039215686274
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,5,0.3260869565217391,1.0,0.4918032786885246
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,6,0.3823529411764705,0.8666666666666667,0.5306122448979592
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,7,0.3809523809523809,0.8888888888888888,0.5333333333333333
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,8,0.391304347826087,1.0,0.5625
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,9,0.3629032258064516,1.0,0.5325443786982249
NanoMGT,Salmonella enterica,SRR27755678,0.01,220,10,0.3629032258064516,1.0,0.5325443786982249
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,1,0.2409638554216867,0.5,0.3252032520325203
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,2,0.3058823529411765,0.65,0.416
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,3,0.3229166666666667,0.775,0.4558823529411765
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,4,0.3711340206185567,0.9,0.5255474452554746
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,5,0.3936170212765957,0.925,0.5522388059701493
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,6,0.4065934065934066,0.925,0.564885496183206
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,7,0.3979591836734694,0.975,0.5652173913043478
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,8,0.4148936170212766,0.975,0.582089552238806
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,9,0.40625,0.975,0.5735294117647058
NanoMGT,Staphylococcus aureus,SRR28370694,0.01,220,10,0.4105263157894737,0.975,0.5777777777777777
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,1,0.0655737704918032,0.1777777777777777,0.0958083832335329
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,2,0.1666666666666666,0.3555555555555555,0.226950354609929
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,3,0.2014925373134328,0.6,0.3016759776536313
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,4,0.2761904761904762,0.6444444444444445,0.3866666666666666
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,5,0.3113207547169811,0.7333333333333333,0.4370860927152318
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,6,0.2837837837837837,0.9333333333333332,0.4352331606217617
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,7,0.3,0.9333333333333332,0.4540540540540539
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,8,0.3161764705882353,0.9555555555555556,0.4751381215469613
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,9,0.3138686131386861,0.9555555555555556,0.4725274725274725
NanoMGT,Salmonella enterica,SRR27136088,0.01,220,10,0.3211678832116788,0.9777777777777776,0.4835164835164835
NanoMGT,Escherichia coli,SRR25689478,0.01,220,1,0.0138888888888888,0.024390243902439,0.0176991150442477
NanoMGT,Escherichia coli,SRR25689478,0.01,220,2,0.0694444444444444,0.1219512195121951,0.0884955752212389
NanoMGT,Escherichia coli,SRR25689478,0.01,220,3,0.2023809523809523,0.4146341463414634,0.2719999999999999
NanoMGT,Escherichia coli,SRR25689478,0.01,220,4,0.2842105263157894,0.6585365853658537,0.3970588235294118
NanoMGT,Escherichia coli,SRR25689478,0.01,220,5,0.3186813186813186,0.7073170731707317,0.4393939393939393
NanoMGT,Escherichia coli,SRR25689478,0.01,220,6,0.37,0.902439024390244,0.524822695035461
NanoMGT,Escherichia coli,SRR25689478,0.01,220,7,0.4042553191489361,0.926829268292683,0.562962962962963
NanoMGT,Escherichia coli,SRR25689478,0.01,220,8,0.4193548387096774,0.951219512195122,0.582089552238806
NanoMGT,Escherichia coli,SRR25689478,0.01,220,9,0.4105263157894737,0.951219512195122,0.573529411764706
NanoMGT,Escherichia coli,SRR25689478,0.01,220,10,0.3846153846153846,0.975609756097561,0.5517241379310346
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,1,0.0549450549450549,0.1111111111111111,0.0735294117647058
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,2,0.1397849462365591,0.2888888888888888,0.1884057971014492
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,3,0.1788617886178861,0.4888888888888889,0.2619047619047618
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,4,0.224,0.6222222222222222,0.3294117647058824
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,5,0.2708333333333333,0.5777777777777777,0.3687943262411347
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,6,0.2764227642276423,0.7555555555555555,0.4047619047619048
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,7,0.3008130081300813,0.8222222222222222,0.4404761904761905
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,8,0.34375,0.7333333333333333,0.4680851063829787
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,9,0.3548387096774194,0.7333333333333333,0.4782608695652173
NanoMGT,Salmonella enterica,SRR28399428,0.01,220,10,0.36,0.8,0.4965517241379309
NanoMGT,Escherichia coli,ERR12533301,0.01,220,1,0.1057692307692307,0.2682926829268293,0.1517241379310344
NanoMGT,Escherichia coli,ERR12533301,0.01,220,2,0.2421052631578947,0.5609756097560976,0.3382352941176471
