tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,ecoli,0.02,120,4,0.3382699675803124,0.6747967479674797,0.44197798787532766
Confindr,ecoli,0.02,120,5,0.36535926565046495,0.7317073170731708,0.47988736772590496
Confindr,ecoli,0.02,120,6,0.3925298179535468,0.8373983739837398,0.5277864898702669
Confindr,ecoli,0.02,120,7,0.4019494677440041,0.8699186991869919,0.545138439875282
Confindr,ecoli,0.02,120,8,0.41919545596016183,0.8861788617886179,0.5638778766325183
Confindr,ecoli,0.02,120,9,0.41644222136719256,0.894308943089431,0.5631351105035315
Confindr,ecoli,0.02,120,10,0.41462583475686515,0.910569105691057,0.5656361182676972
Confindr,ecoli,0.02,170,1,0.058826335665146307,0.16260162601626016,0.08444169502010518
Confindr,ecoli,0.02,170,2,0.17169266947044726,0.4796747967479675,0.24697716077026421
Confindr,ecoli,0.02,170,3,0.23673459383364873,0.6666666666666666,0.3433950828555945
Confindr,ecoli,0.02,170,4,0.28309049426222105,0.8211382113821138,0.4161589906922347
Confindr,ecoli,0.02,170,5,0.2963398078529657,0.8699186991869919,0.43776498205506914
Confindr,ecoli,0.02,170,6,0.30313302781162926,0.894308943089431,0.44910534831417137
Confindr,ecoli,0.02,170,7,0.29724198892216896,0.910569105691057,0.4448559488800938
Confindr,ecoli,0.02,170,8,0.29998088904177656,0.91869918699187,0.44922534746412834
Confindr,ecoli,0.02,170,9,0.3004905490285607,0.91869918699187,0.4506011970973039
Confindr,ecoli,0.02,170,10,0.30078772315010843,0.91869918699187,0.45104351659424397
Confindr,ecoli,0.02,220,1,0.053304888280257735,0.16260162601626016,0.07861189757581988
Confindr,ecoli,0.02,220,2,0.1591619133274952,0.4634146341463415,0.2298023545564126
Confindr,ecoli,0.02,220,3,0.2666332291243827,0.7317073170731708,0.385076679942944
Confindr,ecoli,0.02,220,4,0.29096790890269153,0.8130081300813008,0.42278862099757625
Confindr,ecoli,0.02,220,5,0.3100993528393036,0.894308943089431,0.45618611746758203
Confindr,ecoli,0.02,220,6,0.31531306715063523,0.910569105691057,0.46452155980432547
Confindr,ecoli,0.02,220,7,0.325559582088287,0.910569105691057,0.47675995329390936
Confindr,ecoli,0.02,220,8,0.32145616306575214,0.910569105691057,0.4728828905299493
Confindr,ecoli,0.02,220,9,0.3262873999157185,0.91869918699187,0.47980535849349765
Confindr,ecoli,0.02,220,10,0.3319052249683101,0.91869918699187,0.486144941201121
Confindr,ecoli,0.03,120,1,0.04248366013071895,0.10569105691056911,0.0606060606060606
Confindr,ecoli,0.03,120,2,0.16093412760079426,0.3008130081300813,0.19987800627396304
Confindr,ecoli,0.03,120,3,0.2567730117597139,0.4878048780487805,0.3244844466363454
Confindr,ecoli,0.03,120,4,0.33910899042477993,0.6666666666666666,0.44046468604069494
Confindr,ecoli,0.03,120,5,0.3637110016420361,0.7154471544715447,0.4740452654891158
Confindr,ecoli,0.03,120,6,0.40294724432655465,0.8373983739837398,0.5376546966930412
Confindr,ecoli,0.03,120,7,0.40895768554403533,0.8536585365853658,0.5479962013295347
Confindr,ecoli,0.03,120,8,0.42283950617283955,0.8699186991869919,0.563801501505444
Confindr,ecoli,0.03,120,9,0.42513776970705813,0.8780487804878049,0.567578086677378
Confindr,ecoli,0.03,120,10,0.45287813768918417,0.9024390243902439,0.5974129946085507
Confindr,ecoli,0.03,170,1,0.04504504504504505,0.08130081300813008,0.057971014492753624
Confindr,ecoli,0.03,170,2,0.1401315789473684,0.26829268292682923,0.1772993400585481
Confindr,ecoli,0.03,170,3,0.2869131217405534,0.47154471544715443,0.343725727497697
Confindr,ecoli,0.03,170,4,0.4154824033186137,0.6910569105691057,0.5113446569243213
Confindr,ecoli,0.03,170,5,0.43363036508540675,0.7642276422764228,0.5468905758760831
Confindr,ecoli,0.03,170,6,0.4572069477175526,0.8048780487804877,0.5757385696595423
Confindr,ecoli,0.03,170,7,0.4724537037037037,0.8699186991869919,0.6086372011931617
Confindr,ecoli,0.03,170,8,0.4754534441422895,0.894308943089431,0.6170795778527203
Confindr,ecoli,0.03,170,9,0.4714383423189923,0.894308943089431,0.614284681255059
Confindr,ecoli,0.03,170,10,0.4635806018784742,0.9024390243902439,0.6108427267847558
Confindr,ecoli,0.03,220,1,0.03864734299516908,0.06504065040650407,0.048484848484848485
Confindr,ecoli,0.03,220,2,0.13649425287356323,0.2682926829268293,0.17692307692307693
Confindr,ecoli,0.03,220,3,0.33993553993553993,0.5040650406504065,0.39020798323123906
Confindr,ecoli,0.03,220,4,0.4188904225136109,0.6341463414634146,0.4914454811728115
Confindr,ecoli,0.03,220,5,0.4773532905678309,0.7642276422764228,0.5786109315521081
Confindr,ecoli,0.03,220,6,0.5020142199110854,0.8455284552845529,0.6254669431550672
Confindr,ecoli,0.03,220,7,0.5010879912960696,0.8455284552845529,0.6251132107831213
Confindr,ecoli,0.03,220,8,0.509674789921846,0.894308943089431,0.6459622608733415
Confindr,ecoli,0.03,220,9,0.5189587250425284,0.9024390243902439,0.655808939289919
Confindr,ecoli,0.03,220,10,0.5107754249320514,0.910569105691057,0.6531197558301162
Confindr,ecoli,0.04,120,1,0.04081632653061224,0.048780487804878044,0.044444444444444446
Confindr,ecoli,0.04,120,2,0.12604166666666666,0.17886178861788618,0.1442622950819672
Confindr,ecoli,0.04,120,3,0.2288124156545209,0.3089430894308943,0.24497381385074068
Confindr,ecoli,0.04,120,4,0.3926354238854239,0.4959349593495935,0.4200214683695747
Confindr,ecoli,0.04,120,5,0.4365427927927928,0.5365853658536586,0.46050117033927745
Confindr,ecoli,0.04,120,6,0.5242560740044286,0.7073170731707318,0.5899003361618316
Confindr,ecoli,0.04,120,7,0.5635078776645042,0.7642276422764228,0.6344086021505376
Confindr,ecoli,0.04,120,8,0.5911064425770308,0.7967479674796748,0.6669357992516239
Confindr,ecoli,0.04,120,9,0.6007258491604448,0.8373983739837398,0.6909350289394309
Confindr,ecoli,0.04,120,10,0.6066738816738817,0.8617886178861789,0.7054820245879091
Confindr,ecoli,0.04,170,1,0.05691056910569106,0.05691056910569106,0.05691056910569106
Confindr,ecoli,0.04,170,2,0.12345679012345678,0.16260162601626016,0.14035087719298245
Confindr,ecoli,0.04,170,3,0.2775335397316821,0.34146341463414637,0.2878046520248355
Confindr,ecoli,0.04,170,4,0.45073281837987716,0.4959349593495935,0.45205486112124
Confindr,ecoli,0.04,170,5,0.4959024635495224,0.5609756097560976,0.5098677693069734
Confindr,ecoli,0.04,170,6,0.5681102341775764,0.7073170731707318,0.6203980735626305
Confindr,ecoli,0.04,170,7,0.5932738758825715,0.7723577235772359,0.6641957860768588
Confindr,ecoli,0.04,170,8,0.6154160189677642,0.8292682926829268,0.7007918851634091
Confindr,ecoli,0.04,170,9,0.6221132897603486,0.8292682926829268,0.7041348640353625
Confindr,ecoli,0.04,170,10,0.6336417678986818,0.8861788617886179,0.7341854363130959
Confindr,ecoli,0.04,220,1,0.02857142857142857,0.024390243902439022,0.026315789473684213
Confindr,ecoli,0.04,220,2,0.15204678362573099,0.21138211382113822,0.17687074829931973
Confindr,ecoli,0.04,220,3,0.3613154960981048,0.37398373983739835,0.3419102484792247
Confindr,ecoli,0.04,220,4,0.46365007541478126,0.4878048780487805,0.4522625276511872
Confindr,ecoli,0.04,220,5,0.5631823461091754,0.6585365853658537,0.5934246184567109
